,degree,closeness,betweenness,eigenvector,sum
TYMS,0.017964071856287428,0.16006305146715913,0.01868552052521463,0.00011547764806651928,0.1968281214967277
PRC1,0.011976047904191617,0.16006305146715913,0.01861337565832191,0.00011491278177834058,0.190767387811451
MYB,0.005988023952095809,0.18317375943300565,0.0,0.0004199184141544062,0.18958170179925585
MECOM,0.005988023952095809,0.18317375943300565,0.0,0.0004199184141544062,0.18958170179925585
CBFB,0.005988023952095809,0.18317375943300565,0.0,0.0004199184141544062,0.18958170179925585
FLI1,0.005988023952095809,0.18317375943300565,0.0,0.0004199184141544062,0.18958170179925585
TET2,0.011976047904191617,0.17126746506986026,0.003315855640723977,0.00021809176617162393,0.1867774603809475
ELL,0.011976047904191617,0.1542950135764507,0.009378832696053675,9.473998049054916e-05,0.17574463415718655
TGFBR2,0.005988023952095809,0.16790927948025516,0.0,0.0002114857485892534,0.17410878918094022
WWTR1,0.005988023952095809,0.16790927948025516,0.0,0.0002114857485892534,0.17410878918094022
KMT2C,0.005988023952095809,0.16468025487486565,0.0,0.00023110872367709768,0.17089938755063855
EBF1,0.011976047904191617,0.15736673666449644,0.0013427732116859886,4.4842073691458516e-05,0.17073039985406552
ACVR1,0.011976047904191617,0.14892823049553067,0.009378832696053675,3.3228439154664105e-05,0.1703163395349306
KAT6B,0.005988023952095809,0.16131943334680715,0.0,9.439737711314029e-05,0.1674018546760161
PTPN13,0.005988023952095809,0.158093044679871,0.0,0.0001532286786587895,0.1642342973106256
TUBB2B,0.011976047904191617,0.13345516758690412,0.009378832696053675,8.076433930095795e-06,0.1548181246210795
DHFR,0.005988023952095809,0.13310942881077223,0.0,8.076433930095798e-06,0.1391055291967981
RRM1,0.005988023952095809,0.13310942881077223,0.0,8.076433930095798e-06,0.1391055291967981
MLLT10,0.005988023952095809,0.12909607919838714,0.0,6.625981207534138e-06,0.13509072913169048
BMPR1A,0.005988023952095809,0.12531765736819045,0.0,2.3241497611360787e-06,0.1313080054700474
TUBB2A,0.005988023952095809,0.11417831004657351,0.0,5.648662881786877e-07,0.1201668988649575
Acorus calamus,0.04191616766467066,0.041916167664670656,0.001515042204747132,4.146342513967765e-23,0.08534737753408844
(-)-Globulol,0.005988023952095809,0.02257024412713035,0.0,1.5671701632064293e-23,0.028558268079226158
(-)-Acorenone,0.005988023952095809,0.02257024412713035,0.0,1.5671701632064293e-23,0.028558268079226158
(+)-5-Epi-aristolochene,0.005988023952095809,0.02257024412713035,0.0,1.5671701632064293e-23,0.028558268079226158
(+)-alpha-Funebrene,0.005988023952095809,0.02257024412713035,0.0,1.5671701632064293e-23,0.028558268079226158
(+)-delta-Selinene,0.005988023952095809,0.02257024412713035,0.0,1.5671701632064293e-23,0.028558268079226158
(-)-alpha-Himachalene,0.005988023952095809,0.02257024412713035,0.0,1.5671701632064293e-23,0.028558268079226158
(-)-Isoshyobunone,0.005988023952095809,0.02257024412713035,0.0,1.5671701632064293e-23,0.028558268079226158
"Curcuma longa, Piper betel, Syzygium aromaticum, Acorus calamus",0.011976047904191617,0.011976047904191617,7.214486689272058e-05,1.4902405743906262e-29,0.024024240675275955
Curcuma longa,0.011976047904191617,0.011976047904191617,7.214486689272058e-05,1.4902405743906262e-29,0.024024240675275955
(+)-cis-Sabinol,0.005988023952095809,0.007984031936127744,0.0,1.0537592157509475e-29,0.013972055888223553
(+)-delta-Cadinene,0.005988023952095809,0.007984031936127744,0.0,1.0537592157509475e-29,0.013972055888223553
(+)-beta-Phellandrene,0.005988023952095809,0.007984031936127744,0.0,1.0537592157509475e-29,0.013972055888223553
(+)-Curcumenol,0.005988023952095809,0.007984031936127744,0.0,1.0537592157509475e-29,0.013972055888223553
NOTCH2,0.005988023952095809,0.005988023952095809,0.0,1.6998537410481252e-32,0.011976047904191617
MAML2,0.005988023952095809,0.005988023952095809,0.0,1.6998537410481252e-32,0.011976047904191617
NTRK3,0.005988023952095809,0.005988023952095809,0.0,1.6998537410481252e-32,0.011976047904191617
NTRK2,0.005988023952095809,0.005988023952095809,0.0,1.6998537410481252e-32,0.011976047904191617
HIP1,0.005988023952095809,0.005988023952095809,0.0,1.6998537410481252e-32,0.011976047904191617
CLTC,0.005988023952095809,0.005988023952095809,0.0,1.6998537410481252e-32,0.011976047904191617
TUBB,0.005988023952095809,0.005988023952095809,0.0,1.6998537410481252e-32,0.011976047904191617
TUBB4B,0.005988023952095809,0.005988023952095809,0.0,1.6998537410481252e-32,0.011976047904191617
"Curcuma longa, Piper betel, Acorus calamus",0.005988023952095809,0.005988023952095809,0.0,1.6998537410481252e-32,0.011976047904191617
(+)-alpha-Cadinene,0.005988023952095809,0.005988023952095809,0.0,1.6998537410481252e-32,0.011976047904191617
(+)-Endo-beta-bergamotene,0.005988023952095809,0.005988023952095809,0.0,1.6998537410481252e-32,0.011976047904191617
Syzygium aromaticum,0.005988023952095809,0.005988023952095809,0.0,1.6998537410481252e-32,0.011976047904191617
Piper betel,0.005988023952095809,0.005988023952095809,0.0,1.6998537410481252e-32,0.011976047904191617
(+)-Fenchone,0.005988023952095809,0.005988023952095809,0.0,1.6998537410481252e-32,0.011976047904191617
(+)-gamma-Gurjunene,0.005988023952095809,0.005988023952095809,0.0,1.6998537410481252e-32,0.011976047904191617
"Piper betel, Acorus calamus",0.005988023952095809,0.005988023952095809,0.0,1.6998537410481252e-32,0.011976047904191617
(+)-gamma-Cadinene,0.005988023952095809,0.005988023952095809,0.0,1.6998537410481252e-32,0.011976047904191617
"Piper betel, Syzygium aromaticum, Acorus calamus",0.005988023952095809,0.005988023952095809,0.0,1.6998537410481252e-32,0.011976047904191617
(-)-Catechin,0.005988023952095809,0.005988023952095809,0.0,1.6998537410481252e-32,0.011976047904191617
Punica granatum,0.005988023952095809,0.005988023952095809,0.0,1.6998537410481252e-32,0.011976047904191617
"Syzygium aromaticum, Acorus calamus",0.005988023952095809,0.005988023952095809,0.0,1.6998537410481252e-32,0.011976047904191617
(-)-alpha-Cadinol,0.005988023952095809,0.005988023952095809,0.0,1.6998537410481252e-32,0.011976047904191617
