UniProt_name,Processed Value
VEGFA_HUMAN,VEGFA
CTNNB1_HUMAN,CTNNB1
AKT1_HUMAN,AKT1
IL6_HUMAN,IL6
GAPDH_HUMAN,GAPDH
EGFR_HUMAN,EGFR
JUN_HUMAN,JUN
MYC_HUMAN,MYC
TP53_HUMAN,TP53
ALB_HUMAN,ALB
TNF_HUMAN,TNF
INS_HUMAN,INS
