Id,Type,degree,closeness,betweenness,eigenvector,sum
TP53,Target,0.8333333333333333,0.8571428571428571,0.0,0.3777008260145393,2.0681770164907296
CTNNB1,Target,0.8333333333333333,0.8571428571428571,0.0,0.3777008260145393,2.0681770164907296
EGFR,Target,1.0,1.0,0.0666666666666666,0.4150356872683635,2.4817023539350305
AKT1,Target,1.0,1.0,0.0666666666666666,0.4150356872683635,2.4817023539350305
JUN,Target,0.8333333333333333,0.8571428571428571,0.0,0.3777008260145393,2.0681770164907296
MYC,Target,1.0,1.0,0.0666666666666666,0.4150356872683635,2.4817023539350305
COL18A1,Target,0.5,0.6666666666666666,0.0,0.2350795460367316,1.4017462127033982
