Source,Target,Interaction
TP53,CTNNB1,PPI
TP53,EGFR,PPI
TP53,AKT1,PPI
TP53,JUN,PPI
TP53,MYC,PPI
EGFR,COL18A1,PPI
EGFR,AKT1,PPI
EGFR,JUN,PPI
EGFR,MYC,PPI
EGFR,CTNNB1,PPI
COL18A1,MYC,PPI
COL18A1,AKT1,PPI
JUN,CTNNB1,PPI
JUN,MYC,PPI
JUN,AKT1,PPI
AKT1,MYC,PPI
AKT1,CTNNB1,PPI
MYC,CTNNB1,PPI
